代码,地名
WX4FBXXFKE4F,北京
WX4G0URR276S,东城
WX4EPCD9BMPN,西城
WX4G17JWZEK7,朝阳
WX4DWN2X06KM,丰台
WX4DUXSF6714,石景山
WX4EQ2XJD7V2,海淀
WX4E1VJ3N56X,门头沟
WX4D4S7291H4,房山
WX4GN7JYY527,通州
WX4UQ3MYNN0Q,顺义
WX4SUCU47R3T,昌平
WX4DP0SUJ2YC,大兴
WX4VMUP35BZ0,怀柔
WX5K31KNJY1W,平谷
WX5JDT1H236N,密云
WX4QNGWY2FE8,延庆
WWGQDCW6TBW1,天津
WWGQE0U6VS5D,和平
WWGQEFZMJC1W,河东
WWGQ7R6ZUMF7,河西
WWGQ9STVVP3Y,南开
WWGQDWRQSXXW,河北
WWGQC9YRXSBV,红桥
WWGQM4R38052,东丽
WWGNW7KUC8EN,西青
WWGMZ01DBNXT,津南
WWGR17G3NCFH,北辰
WX50P0FTHSHF,武清
WX53VNZ3B0EM,宝坻
WWGTYKJXE1UQ,滨海新区
WWGZ9PCCUGRS,宁河
WWGJKWFX9MYZ,静海
WX57ZDBH4M0G,蓟州
WWC2MYYCM6J5,石家庄
WWC2QK2826WW,长安
WWC2HQR941EY,桥西
WWC2KWC5J30V,新华
WWC0M54UVCB4,井陉
WWC2NNFBK813,裕华
WWC8M50SUCVF,藁城
WWC28UQ8P492,鹿泉
WW9X2ZVDFXU1,栾城
WWC0M73KEJJ4,井陉
WWC3P0GRF7RY,正定
WWC6WEUYBRNZ,行唐
WWC3FS39WJMP,灵寿
WW9MZUC5VS12,高邑
WWCCJQQNDECG,深泽
WW9Q6C8GXHVW,赞皇
WWCC0NQWE5V7,无极
WWC1WEJYKUGC,平山
WW9QVBNVTQJ1,元氏
WW9WG8HVWY49,赵县
WW9ZTZHSH874,辛集
WWCB3E4KC3BD,晋州
WWCD1T7KVWJU,新乐
WXH13WQT7XKN,唐山
WXH12T28ZCYU,路南
WXH13T4TDV3W,路北
WXH4P1N2GBRN,古冶
WXH1DVXJJ7JU,开平
WX5CP7MZCQWS,丰南
WXH494BF8D4K,丰润
WWUNZ5FRFWND,曹妃甸
WXH2SWU0HMTY,滦南
WXH838HQ4U9G,乐亭
WXHHKMJFXY6X,迁西
WX5DZ5BMGFFD,玉田
WX5US4896NYS,遵化
WXH7TJ6TQKXN,迁安
WXH6JH68W3P4,滦州
WXJ51T411GRX,秦皇岛
WXJ528H2CCFH,海港
WXJ5MMTY1TV3,山海关
WXHFWFFDTF1H,北戴河
WXHFC5UTU6GD,抚宁
WXHTFF8EPCUE,青龙
WXH9ZG0VQ22K,昌黎
WXHDBGYMZFB6,卢龙
WW92M43YCQG0,邯郸
WW92J5JNFTQ4,邯山
WW92MJQVK1XG,丛台
WW92KTBK4BK7,复兴
WW3PQKGPBU90,峰峰
WW3XUMDZ1VU6,肥乡
WW93JP9G12GN,永年
WW3WB1RDPE4S,临漳
WW3X1XGKJSJY,成安
WW3YKK9DM6PJ,大名
WW8B497GWYP5,涉县
WW3QF93DN5JH,磁县
WW9CKYBHP92R,邱县
WW9DJCJF94B4,鸡泽
WW3XX2CRRHGK,广平
WW3ZZDNFSTX3,馆陶
WW3WZKCQX57K,魏县
WW99PZ8510UQ,曲周
WW90Y9JBUZGG,武安
WW96VECQ55CT,桥东
WW96UDKYNGT7,桥西
WW96VH3U3KG5,邢台
WW9KVTBME3SP,临城
WW9KJYQBJRVN,内丘
WW9T3DEMMDTV,柏乡
WW9S7XKGWBDS,隆尧
WW9E1X73VTTV,任县
WW9D3XEKTEVV,南和
WW9WP0D0QH6C,宁晋
WW9G9XDQ1QBS,巨鹿
WW9VW84KPEHD,新河
WW9FUK3SMKZ5,广宗
WW9FCS6K3KBE,平乡
WW9FQS42PESS,威县
WWD6BHKK6KG7,清河
WWD1SK2DC1FH,临西
WWDH3X35SBES,南宫
WW93TS26G3UH,沙河
WWFJ5S4DNJ0T,保定
WWFJ5JMBF7CD,竞秀
WWFJHN3UNPX7,莲池
WWFJ84TKNY22,满城
WWFHECCGX5C4,清苑
WWFJZXMGBR4N,徐水
WX421K89XKQ4,涞水
WWCJN0RMDUFV,阜平
WWFR6KVHKD8D,定兴
WWCU2QJZH5W1,唐县
WWFK49KRMD97,高阳
WWFQHSVFWXW5,容城
WWCXCE7QMETV,涞源
WWCUK2C8M7PH,望都
WWFMQJ1TKVC7,安新
WWFPU72W35DJ,易县
WWCEDN9CZ9YC,曲阳
WWF4VV5D0PVV,蠡县
WWCUGUG15KWH,顺平
WWF4EXDEQP88,博野
WWFTCBJ6YNDT,雄县
WX42WGNG8V7T,涿州
WWCG0HQE70MQ,定州
WWF484JKWZ07,安国
WWFRSPZ3UEMH,高碑店
WX38NPJ1DP88,张家口
WX38N3543Y5E,桥东
WX38JY8ZKHXS,桥西
WX1YFP0B5K9C,宣化
WX1YRM11239W,下花园
WX1XFD29CWXF,万全
WX3CP43599T9,崇礼
WX3D451UPEYZ,张北
WX3W04X9ZT6W,康保
WX6M0CF1M7HB,沽源
WX319QQKM7P3,尚义
WX16XN7R46RV,蔚县
WX1HNP85CY46,阳原
WX1R7EWPGJRZ,怀安
WX4JUDX551G5,怀来
WX1VTYUWS9E4,涿鹿
WX62GC2B68GG,赤城
WX7C5D6581T3,承德
WX7C5DZJSF0K,双桥
WX7C02NE1C46,双滦
WX5WTM1EG05G,鹰手营
WXHPCJBY2WF7,承德县
WX5W40P3Y6R2,兴隆
WX72VGJ4E1J0,滦平
WX7ENF146Y60,隆化
WX6FQKJZQH8M,丰宁
